"Country";"Frequency Range";"Allocations";"Applications"
#"- United States -";"2400 - 2417 MHz";"Amateur (Technician,General,Extra, all modes)";"ISM Equipment/Amateur Radio"
#"- United States -";"2417 - 2450 MHz";"Radiolocation/Amateur (Technician,General,Extra, all modes)";"ISM Equipment/Amateur Radio"
"- United States -";"2401 - 2423 MHz";"Channel 1-2-3";"ISM Equipment/Amateur Radio"
"- United States -";"2406 - 2428 MHz";"Channel 1-2-3-4";"ISM Equipment/Amateur Radio"
"- United States -";"2411 - 2433 MHz";"Channel 1-2-3-4-5";"ISM Equipment/Amateur Radio"
"- United States -";"2416 - 2438 MHz";"Channel 6-2-3-4-5";"ISM Equipment/Amateur Radio"
"- United States -";"2421 - 2443 MHz";"Channel 6-7-3-4-5";"ISM Equipment/Amateur Radio"
"- United States -";"2426 - 2448 MHz";"Channel 6-7-8-4-5";"ISM Equipment/Amateur Radio"
"- United States -";"2431 - 2453 MHz";"Channel 6-7-8-9-5";"ISM Equipment/Amateur Radio"
"- United States -";"2436 - 2458 MHz";"Channel 6-7-8-9-10";"ISM Equipment/Amateur Radio"
"- United States -";"2441 - 2463 MHz";"Channel 11-7-8-9-10";"ISM Equipment/Amateur Radio"
"- United States -";"2446 - 2468 MHz";"Channel 11-12-8-9-10";"ISM Equipment/Amateur Radio"
"- United States -";"2451 - 2473 MHz";"Channel 11-12-13-9-10";"ISM Equipment/Amateur Radio"
"- United States -";"2456 - 2478 MHz";"Channel 11-12-13-10";"ISM Equipment/Amateur Radio"
"- United States -";"2461 - 2483 MHz";"Channel 11-12-13-";"ISM Equipment/Amateur Radio"
"- United States -";"2473 - 2495 MHz";"Channel 14-12-13";"ISM Equipment/Amateur Radio"
